#,LABEL analytical,local/regional cultural attribution (can vary a lot!),absolute period,Site,Easting - Longitude,Northing-Latitude,Type of site/context,Region,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
11,SEALIP/CH/XIW/5,Mid Bronze Age level 8,800 - 750 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,nd,nd,0.1000,0.0100,nd,nd,nd,nd,nd,nd,0.0100,0.6600,0.0900,0.3400,nd,nd,1.4600,94.4000,0.0200,1.8700,0.0400,0.0500,nd,nd,nd,0.5700,0.3500,nd,0.0200,nd,nd,pXRF,,
12,SEALIP/CH/XIW/6,Mid Bronze Age level 6,800 - 500 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,nd,nd,19.7500,nd,nd,nd,nd,nd,nd,nd,0.0200,0.7100,nd,0.1400,nd,nd,nd,77.9600,0.0900,nd,0.1500,0.0700,0.1000,nd,nd,0.6000,0.3100,nd,0.0900,nd,nd,pXRF,,
13,SEALIP/CH/XIW/7,Mid Bronze Age level 8,800 - 750 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,nd,nd,0.1100,nd,nd,nd,nd,nd,nd,nd,0.4000,0.5100,nd,nd,nd,nd,0.2400,96.8400,0.0100,nd,0.0100,0.0500,nd,nd,nd,0.8100,0.8400,nd,0.0600,nd,0.0900,pXRF,,
14,SEALIP/CH/XIW/8,Mid Bronze Age level 8,800 - 750 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0900,0.4700,nd,nd,nd,nd,1.5300,94.8500,nd,1.5600,nd,0.0200,nd,nd,nd,0.6000,0.8200,nd,nd,nd,0.0500,pXRF,,
15,SEALIP/ID/CSB/1,,,Cisaga Balang,107.299415, -6.156172,,Java,Indonesia,bangle,nd,nd,11.0117,nd,nd,nd,nd,nd,nd,nd,nd,22.8843,nd,nd,nd,nd,nd,65.6133,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
16,SEALIP/ID/GH/2,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,Bengkulu Province,Indonesia,fragment,nd,0.0000,5.2137,nd,nd,nd,nd,0.0173,0.0123,nd,nd,0.1043,nd,0.2170,nd,nd,nd,89.2220,nd,0.0643,0.0503,nd,nd,nd,nd,nd,0.6757,nd,0.3080,4.1097,nd,pXRF,,
17,SEALIP/ID/GH/3,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,Bengkulu Province,Indonesia,fragment,nd,nd,3.5060,nd,nd,nd,nd,nd,nd,nd,nd,0.2580,nd,0.5047,nd,nd,nd,94.9510,nd,0.0133,0.0570,nd,nd,nd,nd,nd,nd,nd,nd,0.4857,nd,pXRF,,
18,SEALIP/ID/GH/4,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,Bengkulu Province,Indonesia,bracelet with motif,nd,nd,8.4590,nd,nd,nd,nd,0.0310,0.0077,0.0057,0.0900,7.9200,nd,nd,nd,nd,nd,82.0103,nd,0.1950,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.2600,nd,pXRF,,
19,SEALIP/ID/GH/5,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,Bengkulu Province,Indonesia,bracelet without motif,nd,nd,14.6317,nd,nd,nd,nd,nd,nd,nd,nd,0.2090,nd,0.0720,nd,nd,nd,81.6330,nd,nd,0.0477,nd,nd,nd,nd,nd,nd,nd,0.0483,3.3197,nd,pXRF,,
20,SEALIP/ID/GH/6,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,Bengkulu Province,Indonesia,axe,nd,0.3017,4.1927,nd,nd,nd,nd,nd,nd,nd,nd,0.1563,nd,0.5143,nd,nd,nd,92.0713,nd,nd,0.1007,nd,nd,nd,nd,nd,0.2873,nd,0.0367,2.3197,nd,pXRF,,
21,SEALIP/ID/PKP/3,Mid Iron Age,AD 100 - 300,Pankung Paruk,114.886419, -8.273542,jar burial,Bali,Indonesia,High tin bronze bowl,nd,0.0386,24.0000,nd,nd,0.1298,nd,nd,nd,nd,0.0107,0.0046,nd,0.1070,nd,nd,nd,72.0000,0.0253,nd,0.0011,nd,nd,0.0003,0.0008,0.0074,nd,nd,nd,0.0550,nd,,,
22,SEALIP/ID/PSA/1,,,Pasir Angin,106.986161, -6.368258,,Java,Indonesia,fragment,nd,nd,22.1463,nd,nd,nd,nd,nd,nd,nd,0.1077,nd,nd,nd,nd,nd,nd,76.5200,nd,nd,0.6353,nd,nd,nd,0.1480,nd,nd,nd,nd,nd,nd,pXRF,,
23,SEALIP/ID/PSA/2,,,Pasir Angin,106.986161, -6.368258,,Java,Indonesia,axe,nd,nd,25.6627,nd,nd,nd,nd,nd,nd,nd,nd,0.0903,nd,nd,nd,nd,nd,71.7503,nd,nd,1.6933,nd,nd,0.0227,0.1667,nd,nd,nd,nd,nd,nd,pXRF,,
24,SEALIP/ID/RAB/1,,,Rawa Buntu,106.678631, -6.312359,,Java,Indonesia,bangle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.4707,nd,nd,nd,nd,nd,98.1203,nd,nd,nd,nd,0.1057,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
25,SEALIP/IN/ADI/1,,,Aichanallur,77.873172,8.627942,,Tamil Nadu,India,big jar,nd,nd,22.0890,0.0615,nd,nd,nd,0.0135,0.0170,0.0070,nd,nd,nd,0.0110,nd,nd,nd,71.3507,0.0910,nd,0.8447,0.0470,0.1730,0.1067,0.2590,1.0230,nd,nd,nd,4.7110,nd,pXRF,,
26,SEALIP/IN/GZ/1,,,Gazole,88.192384,25.210859,,West Bengal. Maldar district,India,hi-Sn bronze,nd,0.0202,25.9180,nd,nd,0.0273,nd,nd,nd,nd,0.0117,0.9857,nd,0.0436,nd,nd,15.9804,55.0917,0.0332,0.0178,1.8666,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Corrosion,
27,SEALIP/IN/KOD/1,,500 - 200 BC,Kodumanal,77.512495,11.112701,,Tamil Nadu,India,strainer,nd,nd,8.4103,nd,nd,nd,nd,nd,nd,nd,0.0190,0.5887,nd,0.2270,nd,nd,nd,87.8480,nd,nd,0.6420,nd,nd,0.0370,0.0720,nd,nd,nd,nd,2.1627,nd,pXRF,,
28,SEALIP/IN/MAH/1,,,Mahurjhari,79.947250,22.053381,,Madhya Pradesh,India,copper-base vessel,nd,0.0030,8.1000,nd,nd,0.0296,nd,nd,nd,nd,0.0276,0.4902,nd,0.7200,nd,nd,nd,90.0000,0.0384,0.0072,0.5244,nd,nd,0.0116,0.0083,0.1902,nd,nd,nd,0.1520,nd,,,
29,SEALIP/IN/MAH/3,,,Mahurjhari,79.947250,22.053381,,Madhya Pradesh,India,copper-base vessel,nd,0.0023,18.0000,nd,nd,0.0567,nd,nd,nd,nd,0.0093,0.0582,nd,0.0108,nd,nd,nd,80.0000,0.0820,0.0136,0.3132,nd,nd,0.0044,0.0061,0.1089,nd,nd,nd,1.2900,nd,,,
30,SEALIP/IN/MAH/4,,,Mahurjhari,79.947250,22.053381,,Madhya Pradesh,India,copper-base vessel,nd,0.0022,8.4000,nd,nd,0.0293,nd,nd,nd,nd,nd,0.5220,nd,0.5165,nd,nd,nd,89.0000,0.0115,0.0061,0.5023,nd,nd,0.0035,0.0006,0.0348,nd,nd,nd,0.4700,nd,,,
31,SEALIP/IN/MAH/5,,,Mahurjhari,79.947250,22.053381,,Madhya Pradesh,India,copper-base vessel,nd,0.0004,7.0000,nd,nd,0.0088,nd,nd,nd,nd,0.0039,0.1390,nd,0.0316,nd,nd,nd,89.0000,0.0055,0.0021,0.3044,nd,nd,0.0033,0.0009,0.0262,nd,nd,nd,0.5980,nd,,,
32,SEALIP/IN/MAH/6,mid-late 1st mill. BC,,Mahurjhari,79.947250,22.053381,,Madhya Pradesh,India,copper-base vessel,nd,0.0005,9.6000,nd,nd,0.0132,nd,nd,nd,nd,0.0094,0.0680,nd,0.0340,nd,nd,nd,77.0000,0.0172,0.0096,0.8646,nd,nd,0.0168,0.0029,0.2711,nd,nd,nd,1.8900,nd,,,
33,SEALIP/IN/TAN/1,,,Tanjure, 79.137827,10.786999,,Tamil Nadu,India,bowl,nd,0.2827,8.0693,0.0210,nd,nd,nd,nd,nd,0.0090,0.0550,15.5473,nd,nd,nd,nd,0.6980,73.5007,0.0790,nd,0.6543,0.0447,nd,0.0543,0.0983,nd,nd,nd,nd,0.8933,nd,pXRF,,
34,SEALIP/IN/TAX/1,,,Taxila, 72.839734, 33.746275,,,India,,nd,0.1850,22.0593,0.0807,nd,nd,nd,nd,nd,nd,nd,0.0167,nd,0.1583,nd,nd,nd,75.3677,0.1137,0.0170,0.3143,0.0430,nd,0.0637,0.2037,nd,0.1210,nd,nd,1.2607,nd,pXRF,,
35,SEALIP/IN/TP/1,Maurya Empire,200 - 0 BC,Tilpi,88.561363,22.238035,,West Bengal,India,hi-Sn bronze,nd,nd,23.4251,nd,nd,0.0111,nd,nd,nd,nd,0.0125,0.0279,nd,0.3061,nd,nd,nd,75.1868,0.3223,0.0826,0.6167,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,fragment. metal/corroded,
36,SEALIP/KH/PH/1,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Drum (Pb-Br),nd,0.1748,10.9336,nd,nd,0.0840,nd,nd,nd,nd,0.0179,6.6494,nd,0.2036,0.0162,nd,0.0046,81.0995,0.0387,0.0164,0.0815,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
37,SEALIP/KH/PH/2,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Blade (Br),nd,0.0029,8.4120,nd,nd,0.0056,nd,nd,nd,nd,0.0325,0.3038,nd,0.1225,0.0128,nd,0.0156,90.8955,0.0165,0.0012,0.0073,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
38,SEALIP/KH/PH/3,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Br),nd,0.0000,5.2944,nd,nd,0.0231,nd,nd,nd,nd,0.0276,0.0853,nd,0.0484,0.0426,nd,0.0095,94.3591,0.0417,0.0049,0.0022,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
39,SEALIP/KH/PH/4,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Br),nd,0.0000,9.9995,nd,nd,0.0389,nd,nd,nd,nd,0.0206,0.1332,nd,0.0494,0.0403,nd,0.0000,89.6758,0.0126,0.0035,0.0055,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
40,SEALIP/KH/PH/5,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Pb-Br),nd,0.0023,14.8199,nd,nd,0.0269,nd,nd,nd,nd,0.0627,4.6950,nd,1.7759,0.0159,nd,0.0009,77.9366,0.0861,0.0024,0.0427,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
41,SEALIP/KH/PH/6,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Br),nd,0.0584,13.4235,nd,nd,0.0839,nd,nd,nd,nd,0.0069,0.4022,nd,0.2240,0.0309,nd,0.0012,85.2220,0.0153,0.0049,0.0061,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
42,SEALIP/KH/PH/7,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Pb-Br),nd,0.2851,5.2655,nd,nd,0.1328,nd,nd,nd,nd,0.0430,1.4832,nd,0.4949,0.0400,nd,0.0045,92.1004,0.0457,0.0102,0.0098,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
43,SEALIP/KH/PH/8,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bowl (hi-Sn),nd,0.0000,23.0131,nd,nd,0.0339,nd,nd,nd,nd,0.0170,0.1255,nd,0.0428,0.0194,nd,0.0056,76.4795,0.0396,0.0246,0.1724,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
44,SEALIP/KH/PH/9,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Drum (Pb-Br),nd,0.2764,13.8350,nd,nd,0.0358,nd,nd,nd,nd,0.0350,3.2182,nd,0.2215,0.0089,nd,0.0000,81.8635,0.0203,0.0086,0.0034,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
45,SEALIP/KH/PH/10,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bowl (Pb-Br),nd,0.4505,14.0194,nd,nd,0.1530,nd,nd,nd,nd,0.0356,1.6170,nd,0.6266,0.0000,nd,0.0044,81.8747,0.0719,0.0322,0.4852,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
46,SEALIP/KH/PH/11,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,bowl fragment,nd,nd,53.6835,nd,nd,nd,nd,nd,nd,nd,nd,0.3995,nd,nd,nd,nd,0.2710,43.5380,0.2620,nd,1.2575,nd,nd,nd,0.3635,nd,nd,nd,nd,nd,nd,pXRF,,
47,SEALIP/KH/PKM/1,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,Pb strip,nd,0.0040,0.1453,nd,nd,0.0000,nd,nd,nd,nd,0.0000,94.3692,nd,0.0064,0.0032,nd,0.0037,0.7048,0.0122,0.0080,0.0000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
48,SEALIP/KH/PKM/2,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br bracelet,nd,0.0735,19.5000,nd,nd,0.1230,nd,nd,nd,nd,nd,1.2400,0.0100,0.1090,nd,nd,nd,78.1502,0.1200,0.0380,0.6800,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
49,SEALIP/KH/PKM/3,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br bracelet,nd,0.0066,2.4496,nd,nd,0.1280,nd,nd,nd,nd,0.0430,0.0123,nd,0.0349,0.0210,nd,0.0000,97.1921,0.0160,0.0034,0.0049,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
50,SEALIP/KH/PKM/4,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br bracelet,nd,0.0000,21.9933,nd,nd,0.0838,nd,nd,nd,nd,0.0370,0.0752,nd,0.1953,0.0202,nd,0.0039,77.4266,0.0839,0.0105,0.0130,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
51,SEALIP/KH/PKM/5,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br bracelet,nd,0.0000,22.7647,nd,nd,0.0493,nd,nd,nd,nd,0.0000,0.0358,nd,0.2385,0.0090,nd,0.0108,76.5994,0.0940,0.0078,0.1409,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
52,SEALIP/KH/PKM/6,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br bracelet,nd,0.0000,23.3952,nd,nd,0.0703,nd,nd,nd,nd,0.0073,0.0073,nd,0.2689,0.0198,nd,0.0027,75.6827,0.0322,0.0037,0.0092,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
53,SEALIP/KH/PKM/7,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br bracelet,nd,0.0030,13.5840,nd,nd,0.0188,nd,nd,nd,nd,0.0216,0.0084,nd,0.1532,0.0588,nd,0.0090,63.6640,0.0000,0.0134,0.0124,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Corroded,
54,SEALIP/KH/PKM/8,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br bracelet,nd,0.0026,0.0030,nd,nd,0.0165,nd,nd,nd,nd,0.0000,0.0253,nd,0.0161,0.0417,nd,0.0052,99.6111,0.0611,0.0086,0.1221,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
55,SEALIP/KH/PKM/9,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br bracelet,nd,0.0000,23.7564,nd,nd,0.0301,nd,nd,nd,nd,0.0239,0.0462,nd,0.0873,0.0295,nd,0.0133,75.4991,0.1997,0.0142,0.1092,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
56,SEALIP/KH/PKM/10,Chenla,AD 500-700,Prei Khameng,103.757302,13.428109,cemetery,Siem Reap province,Cambodia,br uncertain,nd,0.1369,18.4563,nd,nd,0.0184,nd,nd,nd,nd,0.0384,2.2262,nd,0.6402,0.0141,nd,0.0040,52.9936,0.0369,0.0060,0.2267,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Corroded,
57,SEALIP/LA/PBL/8,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Ge,nd,nd,11.1023,nd,nd,nd,nd,0.0283,0.0147,nd,nd,nd,nd,0.0427,nd,nd,nd,86.0197,nd,nd,nd,nd,nd,nd,nd,nd,1.4183,nd,nd,1.3713,nd,pXRF,,
58,SEALIP/LA/PBL/9,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,12.8873,nd,nd,nd,nd,nd,nd,nd,nd,0.0667,nd,0.0597,nd,nd,nd,86.4493,nd,nd,0.2510,nd,nd,nd,nd,nd,0.2777,nd,nd,nd,nd,pXRF,,
59,SEALIP/LA/PBL/10,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0150,nd,nd,0.0423,nd,nd,0.0757,98.8263,0.0117,nd,0.1100,nd,nd,nd,nd,nd,nd,nd,0.0367,0.8457,nd,pXRF,,
60,SEALIP/LA/PBL/11,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,0.0147,nd,nd,0.0807,0.1740,nd,0.2060,nd,nd,0.1103,82.9823,nd,nd,16.3317,nd,nd,nd,nd,nd,nd,nd,nd,0.0413,nd,pXRF,,
61,SEALIP/LA/PBL/12,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0703,0.1637,0.0160,0.1690,nd,nd,nd,98.6350,0.0103,nd,0.9303,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
62,SEALIP/LA/PBL/13,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,0.0213,0.0153,nd,nd,nd,nd,nd,nd,nd,0.0593,0.0463,0.0210,0.1157,nd,nd,0.1080,97.8770,nd,nd,1.3213,nd,nd,0.0303,0.0210,nd,nd,nd,nd,0.2927,nd,pXRF,,
63,SEALIP/LA/PBL/14,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0187,0.1060,nd,0.0590,nd,nd,0.1637,96.4983,nd,nd,2.9707,nd,nd,nd,nd,nd,nd,nd,0.0117,0.1390,nd,pXRF,,
64,SEALIP/LA/PBL/15,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0047,nd,nd,0.0157,nd,nd,0.1527,99.4977,nd,nd,0.0777,nd,nd,nd,nd,nd,nd,nd,nd,0.2407,nd,pXRF,,
65,SEALIP/LA/PBL/16,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,0.0043,nd,nd,nd,nd,nd,0.0750,nd,nd,nd,99.4220,nd,nd,0.3127,nd,nd,nd,nd,nd,0.0377,nd,nd,nd,nd,pXRF,,
66,SEALIP/LA/PBL/17,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Chisel,9.1000,nd,19.3000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,70.6000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,SEM-EDS,,
67,SEALIP/LA/PBL/18,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,0.0167,nd,nd,nd,nd,nd,nd,nd,0.0077,0.0607,nd,0.0757,nd,nd,nd,98.9210,0.0050,nd,0.8180,nd,0.0083,0.0263,0.0410,nd,nd,nd,nd,nd,nd,pXRF,,
68,SEALIP/LA/PBL/19,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1093,0.0777,nd,0.1357,nd,nd,0.1613,92.9780,nd,nd,5.6913,nd,nd,nd,nd,nd,nd,nd,0.5963,0.2483,nd,pXRF,,
69,SEALIP/LA/PBL/20,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,0.0190,nd,nd,nd,nd,nd,nd,nd,0.0283,0.0183,nd,0.0343,nd,nd,0.0307,98.1773,nd,0.0043,1.5347,nd,nd,0.0113,nd,nd,nd,nd,nd,0.0600,nd,pXRF,,
