id,LABEL analytical,local/regional cultural attribution (can vary a lot!),absolute period,Site,Easting - Longitude,Northing-Latitude,Type of site/context,Region,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
11,SEALIP/CH/XIW/5,Mid Bronze Age level 8,800 - 750 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,0.0001,0.0001,0.1000,0.0100,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0100,0.6600,0.0900,0.3400,0.0001,0.0001,1.4600,94.4000,0.0200,1.8700,0.0400,0.0500,0.0001,0.0001,0.0001,0.5700,0.3500,0.0001,0.0200,0.0001,0.0001,pXRF,,
12,SEALIP/CH/XIW/6,Mid Bronze Age level 6,800 - 500 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,0.0001,0.0001,19.7500,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0200,0.7100,0.0001,0.1400,0.0001,0.0001,0.0001,77.9600,0.0900,0.0001,0.1500,0.0700,0.1000,0.0001,0.0001,0.6000,0.3100,0.0001,0.0900,0.0001,0.0001,pXRF,,
13,SEALIP/CH/XIW/7,Mid Bronze Age level 8,800 - 750 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,0.0001,0.0001,0.1100,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4000,0.5100,0.0001,0.0001,0.0001,0.0001,0.2400,96.8400,0.0100,0.0001,0.0100,0.0500,0.0001,0.0001,0.0001,0.8100,0.8400,0.0001,0.0600,0.0001,0.0900,pXRF,,
14,SEALIP/CH/XIW/8,Mid Bronze Age level 8,800 - 750 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0900,0.4700,0.0001,0.0001,0.0001,0.0001,1.5300,94.8500,0.0001,1.5600,0.0001,0.0200,0.0001,0.0001,0.0001,0.6000,0.8200,0.0001,0.0001,0.0001,0.0500,pXRF,,
15,SEALIP/ID/CSB/1,,,Cisaga Balang,107.299415, -6.156172,,,Indonesia,bangle,0.0001,0.0001,11.0117,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,22.8843,0.0001,0.0001,0.0001,0.0001,0.0001,65.6133,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
16,SEALIP/ID/GH/2,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,,Indonesia,fragment,0.0001,0.0000,5.2137,0.0001,0.0001,0.0001,0.0001,0.0173,0.0123,0.0001,0.0001,0.1043,0.0001,0.2170,0.0001,0.0001,0.0001,89.2220,0.0001,0.0643,0.0503,0.0001,0.0001,0.0001,0.0001,0.0001,0.6757,0.0001,0.3080,4.1097,0.0001,pXRF,,
17,SEALIP/ID/GH/3,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,,Indonesia,fragment,0.0001,0.0001,3.5060,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.2580,0.0001,0.5047,0.0001,0.0001,0.0001,94.9510,0.0001,0.0133,0.0570,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4857,0.0001,pXRF,,
18,SEALIP/ID/GH/4,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,,Indonesia,bracelet with motif,0.0001,0.0001,8.4590,0.0001,0.0001,0.0001,0.0001,0.0310,0.0077,0.0057,0.0900,7.9200,0.0001,0.0001,0.0001,0.0001,0.0001,82.0103,0.0001,0.1950,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.2600,0.0001,pXRF,,
19,SEALIP/ID/GH/5,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,,Indonesia,bracelet without motif,0.0001,0.0001,14.6317,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.2090,0.0001,0.0720,0.0001,0.0001,0.0001,81.6330,0.0001,0.0001,0.0477,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0483,3.3197,0.0001,pXRF,,
20,SEALIP/ID/GH/6,Early Metal Age,400-300 BC,Gau Harimau,103.930883, -4.069579,cemetery,,Indonesia,axe,0.0001,0.3017,4.1927,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1563,0.0001,0.5143,0.0001,0.0001,0.0001,92.0713,0.0001,0.0001,0.1007,0.0001,0.0001,0.0001,0.0001,0.0001,0.2873,0.0001,0.0367,2.3197,0.0001,pXRF,,
21,SEALIP/ID/PKP/3,Mid Iron Age,AD 100 - 300,Pankung Paruk,114.886419, -8.273542,jar burial,,Indonesia,High tin bronze bowl,0.0001,0.0386,24.0000,0.0001,0.0001,0.1298,0.0001,0.0001,0.0001,0.0001,0.0107,0.0046,0.0001,0.1070,0.0001,0.0001,0.0001,72.0000,0.0253,0.0001,0.0011,0.0001,0.0001,0.0003,0.0008,0.0074,0.0001,0.0001,0.0001,0.0550,0.0001,,,
22,SEALIP/ID/PSA/1,,,Pasir Angin,106.986161, -6.368258,,,Indonesia,fragment,0.0001,0.0001,22.1463,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1077,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,76.5200,0.0001,0.0001,0.6353,0.0001,0.0001,0.0001,0.1480,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
23,SEALIP/ID/PSA/2,,,Pasir Angin,106.986161, -6.368258,,,Indonesia,axe,0.0001,0.0001,25.6627,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0903,0.0001,0.0001,0.0001,0.0001,0.0001,71.7503,0.0001,0.0001,1.6933,0.0001,0.0001,0.0227,0.1667,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
24,SEALIP/ID/RAB/1,,,Rawa Buntu,106.678631, -6.312359,,,Indonesia,bangle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.4707,0.0001,0.0001,0.0001,0.0001,0.0001,98.1203,0.0001,0.0001,0.0001,0.0001,0.1057,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
25,SEALIP/IN/ADI/1,,,Aichanallur,77.873172,8.627942,,,India,SEALIP/IN/ADI/1,0.0001,0.0001,22.0890,0.0615,0.0001,0.0001,0.0001,0.0135,0.0170,0.0070,0.0001,0.0001,0.0001,0.0110,0.0001,0.0001,0.0001,71.3507,0.0910,0.0001,0.8447,0.0470,0.1730,0.1067,0.2590,1.0230,0.0001,0.0001,0.0001,4.7110,0.0001,pXRF,,
26,SEALIP/IN/GZ/1,,,Gazole,88.192384°,25.210859°,,West Bengal. Maldar district,India,hi-Sn bronze,0.0001,0.0202,25.9180,0.0001,0.0001,0.0273,0.0001,0.0001,0.0001,0.0001,0.0117,0.9857,0.0001,0.0436,0.0001,0.0001,15.9804,55.0917,0.0332,0.0178,1.8666,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim EDXRF,Corrosion,
27,SEALIP/IN/KOD/1,,500 - 200 BC,Kodumanal,77.512495,11.112701,,,India,SEALIP/IN/KOD/1,0.0001,0.0001,8.4103,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0190,0.5887,0.0001,0.2270,0.0001,0.0001,0.0001,87.8480,0.0001,0.0001,0.6420,0.0001,0.0001,0.0370,0.0720,0.0001,0.0001,0.0001,0.0001,2.1627,0.0001,pXRF,,
28,SEALIP/IN/MAH/1,,,Mahurjhari,79.947250,22.053381,,,India,copper-base vessel,0.0001,0.0030,8.1000,0.0001,0.0001,0.0296,0.0001,0.0001,0.0001,0.0001,0.0276,0.4902,0.0001,0.7200,0.0001,0.0001,0.0001,90.0000,0.0384,0.0072,0.5244,0.0001,0.0001,0.0116,0.0083,0.1902,0.0001,0.0001,0.0001,0.1520,0.0001,,,
29,SEALIP/IN/MAH/3,,,Mahurjhari,79.947250,22.053381,,,India,copper-base vessel,0.0001,0.0023,18.0000,0.0001,0.0001,0.0567,0.0001,0.0001,0.0001,0.0001,0.0093,0.0582,0.0001,0.0108,0.0001,0.0001,0.0001,80.0000,0.0820,0.0136,0.3132,0.0001,0.0001,0.0044,0.0061,0.1089,0.0001,0.0001,0.0001,1.2900,0.0001,,,
30,SEALIP/IN/MAH/4,,,Mahurjhari,79.947250,22.053381,,,India,copper-base vessel,0.0001,0.0022,8.4000,0.0001,0.0001,0.0293,0.0001,0.0001,0.0001,0.0001,0.0001,0.5220,0.0001,0.5165,0.0001,0.0001,0.0001,89.0000,0.0115,0.0061,0.5023,0.0001,0.0001,0.0035,0.0006,0.0348,0.0001,0.0001,0.0001,0.4700,0.0001,,,
31,SEALIP/IN/MAH/5,,,Mahurjhari,79.947250,22.053381,,,India,copper-base vessel,0.0001,0.0004,7.0000,0.0001,0.0001,0.0088,0.0001,0.0001,0.0001,0.0001,0.0039,0.1390,0.0001,0.0316,0.0001,0.0001,0.0001,89.0000,0.0055,0.0021,0.3044,0.0001,0.0001,0.0033,0.0009,0.0262,0.0001,0.0001,0.0001,0.5980,0.0001,,,
32,SEALIP/IN/MAH/6,mid-late 1st mill. BC,,Mahurjhari,79.947250,22.053381,,,India,copper-base vessel,0.0001,0.0005,9.6000,0.0001,0.0001,0.0132,0.0001,0.0001,0.0001,0.0001,0.0094,0.0680,0.0001,0.0340,0.0001,0.0001,0.0001,77.0000,0.0172,0.0096,0.8646,0.0001,0.0001,0.0168,0.0029,0.2711,0.0001,0.0001,0.0001,1.8900,0.0001,,,
33,SEALIP/IN/TAN/1,,,Tanjure, 79.137827,10.786999,,,India,SEALIP/IN/TAN/1,0.0001,0.2827,8.0693,0.0210,0.0001,0.0001,0.0001,0.0001,0.0001,0.0090,0.0550,15.5473,0.0001,0.0001,0.0001,0.0001,0.6980,73.5007,0.0790,0.0001,0.6543,0.0447,0.0001,0.0543,0.0983,0.0001,0.0001,0.0001,0.0001,0.8933,0.0001,pXRF,,
34,SEALIP/IN/TAX/1,,,Taxila, 72.839734, 33.746275,,,India,SEALIP/IN/TAX/1,0.0001,0.1850,22.0593,0.0807,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0167,0.0001,0.1583,0.0001,0.0001,0.0001,75.3677,0.1137,0.0170,0.3143,0.0430,0.0001,0.0637,0.2037,0.0001,0.1210,0.0001,0.0001,1.2607,0.0001,pXRF,,
35,SEALIP/IN/TP/1,Maurya Empire,200 - 0 BC,Tilpi,88.561363°,22.238035°,,West Bengal,India,hi-Sn bronze,0.0001,0.0001,23.4251,0.0001,0.0001,0.0111,0.0001,0.0001,0.0001,0.0001,0.0125,0.0279,0.0001,0.3061,0.0001,0.0001,0.0001,75.1868,0.3223,0.0826,0.6167,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim EDXRF,fragment. metal/corroded,
36,SEALIP/KH/PH/1,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Drum (Pb-Br),0.0001,0.1748,10.9336,0.0001,0.0001,0.0840,0.0001,0.0001,0.0001,0.0001,0.0179,6.6494,0.0001,0.2036,0.0162,0.0001,0.0046,81.0995,0.0387,0.0164,0.0815,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
37,SEALIP/KH/PH/2,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Blade (Br),0.0001,0.0029,8.4120,0.0001,0.0001,0.0056,0.0001,0.0001,0.0001,0.0001,0.0325,0.3038,0.0001,0.1225,0.0128,0.0001,0.0156,90.8955,0.0165,0.0012,0.0073,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
38,SEALIP/KH/PH/3,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Br),0.0001,0.0000,5.2944,0.0001,0.0001,0.0231,0.0001,0.0001,0.0001,0.0001,0.0276,0.0853,0.0001,0.0484,0.0426,0.0001,0.0095,94.3591,0.0417,0.0049,0.0022,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
39,SEALIP/KH/PH/4,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Br),0.0001,0.0000,9.9995,0.0001,0.0001,0.0389,0.0001,0.0001,0.0001,0.0001,0.0206,0.1332,0.0001,0.0494,0.0403,0.0001,0.0000,89.6758,0.0126,0.0035,0.0055,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
40,SEALIP/KH/PH/5,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Pb-Br),0.0001,0.0023,14.8199,0.0001,0.0001,0.0269,0.0001,0.0001,0.0001,0.0001,0.0627,4.6950,0.0001,1.7759,0.0159,0.0001,0.0009,77.9366,0.0861,0.0024,0.0427,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
41,SEALIP/KH/PH/6,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Br),0.0001,0.0584,13.4235,0.0001,0.0001,0.0839,0.0001,0.0001,0.0001,0.0001,0.0069,0.4022,0.0001,0.2240,0.0309,0.0001,0.0012,85.2220,0.0153,0.0049,0.0061,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
42,SEALIP/KH/PH/7,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bracelet (Pb-Br),0.0001,0.2851,5.2655,0.0001,0.0001,0.1328,0.0001,0.0001,0.0001,0.0001,0.0430,1.4832,0.0001,0.4949,0.0400,0.0001,0.0045,92.1004,0.0457,0.0102,0.0098,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
43,SEALIP/KH/PH/8,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bowl (hi-Sn),0.0001,0.0000,23.0131,0.0001,0.0001,0.0339,0.0001,0.0001,0.0001,0.0001,0.0170,0.1255,0.0001,0.0428,0.0194,0.0001,0.0056,76.4795,0.0396,0.0246,0.1724,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
44,SEALIP/KH/PH/9,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Drum (Pb-Br),0.0001,0.2764,13.8350,0.0001,0.0001,0.0358,0.0001,0.0001,0.0001,0.0001,0.0350,3.2182,0.0001,0.2215,0.0089,0.0001,0.0000,81.8635,0.0203,0.0086,0.0034,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
45,SEALIP/KH/PH/10,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,Bowl (Pb-Br),0.0001,0.4505,14.0194,0.0001,0.0001,0.1530,0.0001,0.0001,0.0001,0.0001,0.0356,1.6170,0.0001,0.6266,0.0000,0.0001,0.0044,81.8747,0.0719,0.0322,0.4852,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
46,SEALIP/KH/PH/11,Mid Iron Age,150 BC - AD 50,Prohear,105.522526,11.540274,cemetery,Prey Veng province,Cambodia,bowl fragment,0.0001,0.0001,53.6835,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.3995,0.0001,0.0001,0.0001,0.0001,0.2710,43.5380,0.2620,0.0001,1.2575,0.0001,0.0001,0.0001,0.3635,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
47,SEALIP/KH/PKM/1,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,Pb strip,0.0001,0.0040,0.1453,0.0001,0.0001,0.0000,0.0001,0.0001,0.0001,0.0001,0.0000,94.3692,0.0001,0.0064,0.0032,0.0001,0.0037,0.7048,0.0122,0.0080,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
48,SEALIP/KH/PKM/2,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br bracelet,0.0001,0.0735,19.5000,0.0001,0.0001,0.1230,0.0001,0.0001,0.0001,0.0001,0.0001,1.2400,0.0100,0.1090,0.0001,0.0001,0.0001,78.1502,0.1200,0.0380,0.6800,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim EDXRF,Metal,
49,SEALIP/KH/PKM/3,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br bracelet,0.0001,0.0066,2.4496,0.0001,0.0001,0.1280,0.0001,0.0001,0.0001,0.0001,0.0430,0.0123,0.0001,0.0349,0.0210,0.0001,0.0000,97.1921,0.0160,0.0034,0.0049,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
50,SEALIP/KH/PKM/4,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br bracelet,0.0001,0.0000,21.9933,0.0001,0.0001,0.0838,0.0001,0.0001,0.0001,0.0001,0.0370,0.0752,0.0001,0.1953,0.0202,0.0001,0.0039,77.4266,0.0839,0.0105,0.0130,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
51,SEALIP/KH/PKM/5,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br bracelet,0.0001,0.0000,22.7647,0.0001,0.0001,0.0493,0.0001,0.0001,0.0001,0.0001,0.0000,0.0358,0.0001,0.2385,0.0090,0.0001,0.0108,76.5994,0.0940,0.0078,0.1409,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
52,SEALIP/KH/PKM/6,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br bracelet,0.0001,0.0000,23.3952,0.0001,0.0001,0.0703,0.0001,0.0001,0.0001,0.0001,0.0073,0.0073,0.0001,0.2689,0.0198,0.0001,0.0027,75.6827,0.0322,0.0037,0.0092,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
53,SEALIP/KH/PKM/7,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br bracelet,0.0001,0.0030,13.5840,0.0001,0.0001,0.0188,0.0001,0.0001,0.0001,0.0001,0.0216,0.0084,0.0001,0.1532,0.0588,0.0001,0.0090,63.6640,0.0000,0.0134,0.0124,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Corroded,
54,SEALIP/KH/PKM/8,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br bracelet,0.0001,0.0026,0.0030,0.0001,0.0001,0.0165,0.0001,0.0001,0.0001,0.0001,0.0000,0.0253,0.0001,0.0161,0.0417,0.0001,0.0052,99.6111,0.0611,0.0086,0.1221,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
55,SEALIP/KH/PKM/9,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br bracelet,0.0001,0.0000,23.7564,0.0001,0.0001,0.0301,0.0001,0.0001,0.0001,0.0001,0.0239,0.0462,0.0001,0.0873,0.0295,0.0001,0.0133,75.4991,0.1997,0.0142,0.1092,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Metal,
56,SEALIP/KH/PKM/10,Chenla,AD 500-700,Prei Khameng,103.757302°,13.428109°,cemetery,Siem Reap province,Cambodia,br uncertain,0.0001,0.1369,18.4563,0.0001,0.0001,0.0184,0.0001,0.0001,0.0001,0.0001,0.0384,2.2262,0.0001,0.6402,0.0141,0.0001,0.0040,52.9936,0.0369,0.0060,0.2267,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Oxford EPMA,Corroded,
57,SEALIP/LA/PBL/8,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Ge,0.0001,0.0001,11.1023,0.0001,0.0001,0.0001,0.0001,0.0283,0.0147,0.0001,0.0001,0.0001,0.0001,0.0427,0.0001,0.0001,0.0001,86.0197,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.4183,0.0001,0.0001,1.3713,0.0001,pXRF,,
58,SEALIP/LA/PBL/9,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,0.0001,0.0001,12.8873,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0667,0.0001,0.0597,0.0001,0.0001,0.0001,86.4493,0.0001,0.0001,0.2510,0.0001,0.0001,0.0001,0.0001,0.0001,0.2777,0.0001,0.0001,0.0001,0.0001,pXRF,,
