LABEL analytical,Absolute period,Large period,Site,Site abreviation,Easting - Longitude,Northing-Latitude,Type of site/context,Region,River basin,Country,Artefact type,208Pb/206Pb,207Pb/206Pb,208Pb/204Pb,207Pb/204Pb,206Pb/204Pb,Corrosion products,Alloy
SEALIP/KH/LV/1,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1139","0,85391","38,892","15,71","18,398",High,Leaded bronze
SEALIP/KH/LV/2,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1139","0,85393","38,892","15,711","18,398",High,Leaded bronze
SEALIP/KH/LV/3,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Earring,"2,1127","0,85313","38,886","15,703","18,406",Medium,Leaded bronze
SEALIP/KH/LV/4,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Ring,"2,115","0,8549","38,848","15,703","18,368",High,Leaded bronze
SEALIP/KH/LV/5,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Earring,"2,1168","0,85909","38,693","15,703","18,279",Medium,Leaded bronze
SEALIP/KH/LV/6,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Earring,"2,1109","0,85072","38,965","15,703","18,459",Low,Bronze
SEALIP/KH/LV/7,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1157","0,85435","38,901","15,709","18,387",High,Leaded bronze
SEALIP/KH/LV/8,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Earring,"2,1116","0,85556","38,761","15,705","18,356",Low,Leaded bronze
SEALIP/KH/LV/9,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1146","0,8547","38,864","15,709","18,379",High,Leaded bronze
SEALIP/KH/LV/10,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1151","0,85436","38,882","15,706","18,383",High,Leaded bronze
SEALIP/KH/LV/11,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1159","0,85448","38,882","15,702","18,376",Medium,Leaded bronze
SEALIP/KH/LV/12,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1149","0,85428","38,885","15,707","18,386",High,
SEALIP/KH/LV/13,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Ring,"2,1084","0,85831","38,651","15,735","18,332",High,
SEALIP/KH/LV/14,100-400 CE ,Iron Age,Lovea,LV,103.42470,13.29044,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1153","0,85437","38,894","15,709","18,387",High,
SEALIP/CH/HBS/7,798 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685,24.710593,,Yunnan,Red river basin,China,Ore,"2,040419019","0,8348162377","38,43221258","15,71530879","18,83568541",Ore,
SEALIP/CH/HBS/8,799 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685,24.710593,,Yunnan,Red river basin,China,Ore,"2,084630185","0,8550816368","38,20217569","15,66131988","18,32617301",Ore,
SEALIP/CH/HBS/1,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685,24.710593,,Yunnan,Red river basin,China,Fragment,"2,091162296","0,8429999635","38,85352837","15,65435109","18,58019963",Low,Bronze
SEALIP/CH/HBS/2,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685,24.710593,,Yunnan,Red river basin,China,Fragment,"2,096713814","0,8468068142","38,86224174","15,68741661","18,53668077",Low,Bronze
SEALIP/CH/HBS/3,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685,24.710593,,Yunnan,Red river basin,China,Fragment,"2,096074863","0,8510491928","38,56180797","15,6474133","18,39570894",High,Bronze
SEALIP/CH/HBS/4,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685,24.710593,,Yunnan,Red river basin,China,Fragment,"2,089716058","0,8399539048","38,81716279","15,59336329","18,57575469",Low,Copper
SEALIP/CH/HBS/5,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685,24.710593,,Yunnan,Red river basin,China,Fragment,"2,105146114","0,8590010259","38,45626846","15,68365976","18,2684322",Medium,Bronze
SEALIP/CH/HBS/6,675 - 550 BC,Bronze Age,Hebosuo,HBS,102.688685,24.710593,,Yunnan,Red river basin,China,Fragment,"2,090908482","0,8445680244","38,68208286","15,61478609","18,50028607",Medium,Bronze
SEALIP/CH/JXT/1,1100 - 800 BC,Bronze Age,Xiwangmiao,XIW,102.691642,24.709975,,Yunnan,Red river basin,China,Pin,"2,092186864","0,838499904","39,33217246","15,75374775","18,79999436",Low,Bronze
SEALIP/CH/JXT/2,1100 - 800 BC,Bronze Age,Xiwangmiao,XIW,102.691642,24.709975,,Yunnan,Red river basin,China,Fragment,"2,092367589","0,8463619226","38,64437353","15,62324338","18,46931299",Low,Bronze
SEALIP/CH/JXT/3,800 - 750 BC,Bronze Age,Xiwangmiao,XIW,102.691642,24.709975,,Yunnan,Red river basin,China,Fragment,"2,08331","0,855","38,21682","15,67379","18,34456",Low,Copper
SEALIP/CH/JXT/4,800 - 750 BC,Bronze Age,Xiwangmiao,XIW,102.691642,24.709975,,Yunnan,Red river basin,China,Fragment,"2,09667","0,84678","38,88202","15,69385","18,54409",Low,Bronze
SEALIP/CH/JXT/5,800 - 750 BC,Bronze Age,Xiwangmiao,XIW,102.691642,24.709975,,Yunnan,Red river basin,China,Fragment,"2,104207891","0,8595445294","38,30812332","15,63951283","18,20586679",Low,Copper
SEALIP/CH/JXT/6,800 - 500 BC,Bronze Age,Xiwangmiao,XIW,102.691642,24.709975,,Yunnan,Red river basin,China,Fragment,"2,099774819","0,8539729329","38,52744095","15,66163224","18,34935805",Medium,Bronze
SEALIP/CH/JXT/7,800 - 750 BC,Bronze Age,Xiwangmiao,XIW,102.691642,24.709975,,Yunnan,Red river basin,China,Fragment,"2,092443344","0,8472438713","38,54607459","15,59981918","18,42183561",Low,Copper
SEALIP/CH/JXT/8,800 - 750 BC,Bronze Age,Xiwangmiao,XIW,102.691642,24.709975,,Yunnan,Red river basin,China,Fragment,"2,09233847","0,8471159921","38,47615287","15,57219566","18,39014844",Low,Copper
SEALIP/CH/TLS/1,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0913","0,84766","38,466","15,591","18,393",Slag,
SEALIP/CH/TLS/2,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0902","0,84711","38,461","15,587","18,4",Slag,
SEALIP/CH/TLS/3,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0932","0,84835","38,475","15,593","18,381",Slag,
SEALIP/CH/TLS/4,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0835","0,84358","38,506","15,591","18,482",Slag,
SEALIP/CH/TLS/5,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0903","0,84742","38,442","15,585","18,391",Slag,
SEALIP/CH/TLS/6,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0924","0,84816","38,469","15,594","18,386",Slag,
SEALIP/CH/TLS/7,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0962","0,85089","38,44","15,603","18,338",Slag,
SEALIP/CH/TLS/8,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,101","0,85129","38,468","15,586","18,309",Slag,
SEALIP/CH/TLS/9,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0929","0,84841","38,456","15,589","18,374",Slag,
SEALIP/CH/TLS/10,1600 BC-100 AD,Bronze Age/Iron Age,Tonglüshan,TLS,114.564842,30.044363,Copper mine/smelting site,Hubei Province,Yangtze river basin,China,Slag,"2,0933","0,84882","38,462","15,596","18,374",Slag,
SEALIP/IN/GZ/1,,Historic,Gazole,GZ,88.192384,25.210859,,West Bengal. Maldar district,Indian sub-continent,India,High tin bronze,"2,0925","0,84769","38,596","15,636","18,445",Low,High-tin bronze
SEALIP/IN/TP/1,200 - 0 BC,Historic,Tilpi,TP,88.561363,22.238035,copper mining/smelting,West Bengal,Indian sub-continent,India,High tin bronze,"2,0965","0,86992","37,924","15,736","18,089",Low,High-tin bronze
SEALIP/IN/MAH/1,,Historic,Mahurjhari,MAH,79.947250,22.053381,,Madhya Pradesh,Indian sub-continent,India,Vessel,"2,1406","0,9239","36,6395","15,8148","17,1167",,Bronze
SEALIP/IN/MAH/2,,Historic,Mahurjhari,MAH,79.947250,22.053381,,Madhya Pradesh,Indian sub-continent,India,Vessel,"2,0617","0,8172","39,8723","15,8049","19,3393",,Bronze
SEALIP/IN/MAH/3,,Historic,Mahurjhari,MAH,79.947250,22.053381,,Madhya Pradesh,Indian sub-continent,India,Vessel,"2,0904","0,8499","38,6486","15,7124","18,4882",,Bronze
SEALIP/IN/MAH/4,,Historic,Mahurjhari,MAH,79.947250,22.053381,,Madhya Pradesh,Indian sub-continent,India,Vessel,"1,7591","0,6976","42,7670","16,9605","24,3115",,Bronze
SEALIP/IN/MAH/5,,Historic,Mahurjhari,MAH,79.947250,22.053381,,Madhya Pradesh,Indian sub-continent,India,Vessel,"2,2021","0,9443","36,2271","15,5343","16,4512",,Bronze
SEALIP/IN/MAH/6,,Historic,Mahurjhari,MAH,79.947250,22.053381,,Madhya Pradesh,Indian sub-continent,India,Vessel,"2,1068","0,8914","37,1091","15,7019","17,6140",,Bronze
SEALIP/IN/TAN/1,,Historic,Tanjure,TAN,79.137827,10.786999,,Tamil Nadu,Indian sub-continent,India,Bowl,"2,108703839","0,8552345601","38,669859","15,68055411","18,33835426",Low,Leaded bronze
SEALIP/IN/TAX/1,,Historic,Taxila,TAX,72.839734,33.746275,,,Indian sub-continent,India,,"2,096447059","0,8560956505","38,65171836","15,78336931","18,43775309",Low,Bronze
SEALIP/IN/ADI/1,,Historic,Aichanallur,ADI,77.873172,8.627942,,Tamil Nadu,Indian sub-continent,India,Jar,"1,97150673","0,7958678233","39,40423559","15,90598535","19,9871026",Medium,Bronze
SEALIP/IN/KOD/1,500 - 200 BC,Historic,Kodumanal,KOD,77.512495,11.112701,,Tamil Nadu,Indian sub-continent,India,Strainer,"2,167182077","0,9203366158","36,17903479","15,36426725","16,69452609",Low,Bronze
SEALIP/ID/BKH/1,mid-late 1st mill. BC,Metal Age,Bankah,BKH,115.163879,-8.054862,,Bali,Maritime ,Indonesia,Hook,"2,1051","0,85113","38,786","15,682","18,425",Low,Leaded bronze
SEALIP/ID/GLM/2,3rd c. BC to mid 1st mill. AD,Metal Age,Gilimanuk,GLM,114.260489,-8.102114,,Bali,Maritime ,Indonesia,,"2,1191","0,85443","38,886","15,679","18,35",Low,Leaded bronze
SEALIP/ID/GLM/3,3rd c. BC to mid 1st mill. AD,Metal Age,Gilimanuk,GLM,114.260489,-8.102114,,Bali,Maritime ,Indonesia,Point,"2,117","0,85368","38,879","15,678","18,365",High,Leaded bronze
SEALIP/ID/GLM/4,3rd c. BC to mid 1st mill. AD,Metal Age,Gilimanuk,GLM,114.260489,-8.102114,,Bali,Maritime ,Indonesia,Fragment,"2,1155","0,85248","38,933","15,689","18,404",High,Leaded bronze
SEALIP/ID/ML/1,mid-late 1st mill. BC,Metal Age,Manikliyu,ML,115.182873,-8.140808,,Bali,Maritime ,Indonesia,Spiral,"2,1207","0,85507","38,873","15,674","18,331",Low,Leaded bronze
SEALIP/ID/ML/2,mid-late 1st mill. BC,Metal Age,Manikliyu,ML,115.182873,-8.140808,,Bali,Maritime ,Indonesia,Spiral,"2,1161","0,85265","38,944","15,692","18,404",Low,Leaded bronze
SEALIP/ID/ML/3,mid-late 1st mill. BC,Metal Age,Manikliyu,ML,115.182873,-8.140808,,Bali,Maritime ,Indonesia,Spiral,"2,1166","0,85274","38,962","15,697","18,408",Low,Bronze
SEALIP/ID/ML/4,mid-late 1st mill. BC,Metal Age,Manikliyu,ML,115.182873,-8.140808,,Bali,Maritime ,Indonesia,Drum,"2,1153","0,85222","38,959","15,696","18,418",Low,Bronze
SEALIP/ID/ML/5,mid-late 1st mill. BC,Metal Age,Manikliyu,ML,115.182873,-8.140808,,Bali,Maritime ,Indonesia,Drum,"2,1148","0,85201","38,946","15,691","18,416",High,
SEALIP/ID/PCN/1,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Fragment,"2,1279","0,8586","38,756","15,638","18,213",High,Leaded bronze
SEALIP/ID/PCN/2,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Bangle,"2,1176","0,85405","38,873","15,678","18,357",Low,Leaded bronze
SEALIP/ID/PCN/3,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Bangle,"2,1195","0,85452","38,884","15,677","18,346",Medium,Leaded bronze
SEALIP/ID/PCN/4,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Bangle,"2,1266","0,85809","38,791","15,652","18,241",Low,Leaded bronze
SEALIP/ID/PCN/5,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Fragment,"2,1123","0,85144","38,93","15,692","18,43",High,Leaded bronze
SEALIP/ID/PCN/7,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Fragment,"2,1152","0,85294","38,907","15,689","18,394",High,Leaded bronze
SEALIP/ID/PCN/8,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Bangle,"2,1162","0,85324","38,894","15,682","18,379",Medium,Leaded bronze
SEALIP/ID/PCN/9,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Anklet,"2,1192","0,85443","38,853","15,665","18,334",Medium,Leaded bronze
SEALIP/ID/PCN/10,2nd-1st c. BC,Metal Age,Pacung,PCN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,socketed implement,"2,1142","0,8526","38,912","15,692","18,405",Medium,Leaded bronze
SEALIP/ID/PKP/1,mid-late 1st mill. BC,Metal Age,Pankung Paruk,PKP,114.544723,-8.113027,,Bali,Maritime ,Indonesia,Wire,"2,1144","0,85223","38,906","15,682","18,401",Low,Bronze
SEALIP/ID/PKP/2,mid-late 1st mill. BC,Metal Age,Pankung Paruk,PKP,114.544723,-8.113027,,Bali,Maritime ,Indonesia,Mirror,"1,9237","0,76332","40,03","15,884","20,809",Low,Leaded bronze
SEALIP/ID/PKP/3,mid-late 1st mill. BC,Metal Age,Pankung Paruk,PKP,114.544723,-8.113027,,Bali,Maritime ,Indonesia,Bowl,"2,46265","0,84528","38,36403","15,57832","18,42981",Low,Bronze
SEALIP/ID/SBN/1,2nd-1st c. BC,Metal Age,Sembiran,SBN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Point,"2,0963","0,84733","38,746","15,661","18,483",High,Bronze
SEALIP/ID/SBN/2,2nd-1st c. BC,Metal Age,Sembiran,SBN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Point,"2,1267","0,85792","38,819","15,66","18,253",High,Leaded bronze
SEALIP/ID/SBN/3,2nd-1st c. BC,Metal Age,Sembiran,SBN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Ring,"2,0365","0,82","38,905","15,665","19,104",Low,Bronze
SEALIP/ID/SBN/4,2nd-1st c. BC,Metal Age,Sembiran,SBN,115.181261,-8.083764,,Bali,Maritime ,Indonesia,Point,"2,1135","0,85191","38,937","15,695","18,423",High,Leaded bronze
SEALIP/LA/TPP/1,1100 - 1000 BC,Bronze Age,Tham Pà Ping,TPP,103.409722,20.208611,burial,Houaphan Province,Mekong river basin,Laos,Axe,"2,109384036","0,8559718857","38,76734784","15,72904392","18,37861641",Low,Arsenic copper
SEALIP/LA/PBL/8,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ge,"2,10442","0,85401","38,78","15,736","18,428",Low,Bronze
SEALIP/LA/PBL/9,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Axe,"2,101743312","0,8492618586","38,96168861","15,7439245","18,53525661",Medium,Bronze
SEALIP/LA/PBL/10,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,093115154","0,8503774065","38,73745043","15,74327307","18,51027988",Medium,Copper
SEALIP/LA/PBL/11,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,104762154","0,8552025219","38,71653311","15,73108086","18,39463212",Medium,Copper
SEALIP/LA/PBL/12,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,104820307","0,8554324566","38,70130684","15,72734343","18,38744894",Low,Copper
SEALIP/LA/PBL/13,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,105062785","0,8553221597","38,71622951","15,73054562","18,39175005",Medium,Copper
SEALIP/LA/PBL/14,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,105679417","0,8552109914","38,74735598","15,73541953","18,40117879",Low,Copper
SEALIP/LA/PBL/15,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,103315897","0,8544154735","38,75108575","15,73946643","18,42143753",Medium,Copper
SEALIP/LA/PBL/16,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,10428","0,85441","38,759","15,738","18,418",Low,Copper
SEALIP/LA/PBL/17,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Chisel,"2,0957","0,84332","39,155","15,756","18,683",Medium,Bronze
SEALIP/LA/PBL/18,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,10502803","0,8549566545","38,73009464","15,72920386","18,40073987",Low,Copper
SEALIP/LA/PBL/19,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,100482956","0,8533184345","38,71246495","15,72458281","18,42982373",Medium,Copper
SEALIP/LA/PBL/20,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,100345898","0,8532743184","38,7081176","15,72540016","18,4284391",Low,Copper
SEALIP/LA/PBL/21,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Ingot,"2,100614543","0,8534138995","38,72382063","15,72958062","18,43433026",Low,Copper
SEALIP/LA/PBL/22,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Axe,"2,10292","0,85366","38,767","15,737","18,435",Low,Bronze
SEALIP/LA/PBL/23,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Hair pin,"2,107216302","0,8569750547","38,66578045","15,72311206","18,34872672",Low,Bronze
SEALIP/LA/PBL/24,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Axe,"2,105572428","0,854904228","38,77005213","15,737457","18,41208776",Low,Bronze
SEALIP/LA/PBL/25,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Axe,"2,106496218","0,8555510595","38,74269033","15,73301291","18,39112832",Medium,Bronze
SEALIP/LA/PBL/26,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Axe,"2,106583523","0,8561658263","38,71211456","15,73222132","18,37677696",Low,Bronze
SEALIP/LA/PBL/27,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Rod,"2,107460832","0,8572085645","38,66954922","15,72622335","18,34727496",Medium,Bronze
SEALIP/LA/PBL/28,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Adze,"2,098344704","0,8495210765","38,91610182","15,75693072","18,54798194",Medium,Bronze
SEALIP/LA/PBL/29,400 - 100 BC,Iron Age,Puen Baolo,PBL,105.925631,16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Mekong river basin,Laos,Axe,"2,107286901","0,8566050167","38,69659942","15,72885194","18,36367996",Medium,Bronze
